date,close,high,low,open,volume,ticker
13/10/20,117.5603027,118.45377865779184,117.08442340628244,117.58943669130926,13100.0,QQQM
14/10/20,116.51143646240234,118.21001580974688,115.92776445425508,117.83223018657928,37800.0,QQQM
15/10/20,115.6733398,115.8413491545844,114.39333488346008,114.62738463475608,30600.0,QQQM
16/10/20,115.08383178710938,116.93877305430732,115.08383178710938,116.44347347576714,51000.0,QQQM
19/10/20,113.0929183959961,116.37548281340764,112.8841200796912,116.37548281340764,50600.0,QQQM
20/10/20,113.52023315429688,114.68175340888942,112.93753175101088,113.53966073309496,49800.0,QQQM
21/10/20,113.6659164428711,114.59824021993307,113.30658031037242,113.57850715250083,28200.0,QQQM
22/10/20,113.3551254272461,113.96599009548405,112.13144740550813,113.73388167525673,24800.0,QQQM
23/10/20,113.62705993652344,113.62705993652344,112.47136353708515,113.61734614735288,40600.0,QQQM
26/10/20,111.85952758789062,113.60763915667782,110.56689714684497,112.6656016673564,74400.0,QQQM
27/10/20,112.7433090209961,113.09293139450776,111.82069895222727,112.28686458672664,46900.0,QQQM
28/10/20,108.47013092041016,110.98546117122432,108.2856059920904,110.98546117122432,138800.0,QQQM
29/10/20,110.23768615722656,111.36327067896696,108.77218566097882,108.9266060294658,79600.0,QQQM
30/10/20,107.66405487060548,109.75207472429196,106.52778618608164,109.45100657179346,130600.0,QQQM
2/11/20,107.7029266357422,109.00429295933344,106.53751632727072,108.43130529999276,74100.0,QQQM
3/11/20,110.1609344482422,110.3541951118271,108.10107793176564,108.48954794407608,61800.0,QQQM
4/11/20,114.3943099975586,115.134343805487,112.62677788390752,113.0929361284684,109700.0,QQQM
5/11/20,117.43405151367188,117.80213077363352,116.55999571518618,117.03587506680354,146500.0,QQQM
6/11/20,117.51172637939452,117.72538524923252,115.64221867776097,117.152390333808,47100.0,QQQM
9/11/20,115.08383178710938,119.17246323404048,115.08383178710938,118.68687744590922,154000.0,QQQM
10/11/20,112.96375274658205,114.28745844742738,112.02559779072824,113.77273875581454,84200.0,QQQM
11/11/20,115.6762237548828,115.76362562261524,114.08350328319509,114.08350328319509,65800.0,QQQM
12/11/20,115.00614166259766,116.4823266768636,114.598251359755,116.03558862001906,44900.0,QQQM
13/11/20,116.1035614013672,116.16959442769162,114.89250888188212,115.75393905170998,39900.0,QQQM
16/11/20,116.60855102539062,117.01741187768378,115.59853186879069,116.0161358719094,47000.0,QQQM
17/11/20,116.59883880615234,117.15240622151006,116.40460748511276,117.08442451820122,29000.0,QQQM
18/11/20,116.10160064697266,116.99702528440032,115.96563723728951,116.40461010958802,35200.0,QQQM
19/11/20,116.6668472290039,116.6668472290039,115.38490095197602,115.54029197195597,52700.0,QQQM
20/11/20,115.94816589355467,116.83096488545648,115.94816589355467,116.60856281620536,37000.0,QQQM
23/11/20,115.86077117919922,116.70568570242644,114.9478675330492,116.31721559282316,50500.0,QQQM
24/11/20,117.55059051513672,117.61857221870764,115.64223480651307,116.34634001925856,90900.0,QQQM
25/11/20,118.21002960205078,118.43339490545762,117.69822178898016,117.89051185578882,44200.0,QQQM
27/11/20,119.21129608154295,119.74544334548474,118.89274899912677,119.01706475435516,35500.0,QQQM
30/11/20,119.46380615234376,119.60948335662758,117.64771281243291,119.42495840390472,84000.0,QQQM
