date,close,high,low,open,volume,close_log,high_log,low_log,open_log,volume_log,ticker,date_encoded,ticker_encoded,RSI_14,SMA_50,volatility_30,MACD,MACD_signal,MACD_histogram,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,ATR_14,Momentum_5,Volume_MA_5
2020-01-17,146.5800018,146.9900055,146.3099976,146.5099945,11121100.0,4.987571367,4.990364595,4.985727642,4.987093648,16.22435476,GLD,498,2,50.00071618841968,2597.575703339,178.90088980977205,-247.18282630816793,-344.53318343565206,97.35035712748413,10475.911277198753,-5279.164719357754,15755.075996556507,3808.3559234007143,73.46702572999999,6267386306.2
2020-01-17,73.06102753,73.06969103,72.97441234,72.99173273,3090600.0,4.291295085,4.291413657,4.290108864,4.290346184,14.9438758,BND,498,0,50.00015511466445,2455.0334375695998,178.89474781326186,-399.46952770256826,-355.52045228903535,-43.94907541353291,10477.1247529828,-5287.7630927588,15764.8878457416,3808.400925623571,-0.00865172999999686,6267047606.2
2020-01-17,8929.038086,8958.12207,8677.316406,8725.209961,36372139320.0,9.097063951,9.100315894,9.06846759,9.073971811,24.31706892,BTC-USD,498,1,50.09525345177363,2630.7351993516,178.42378778698316,192.22959726754607,-245.97044237771908,438.2000396452652,10660.163190379011,-5381.651481355011,16041.814671734022,3814.004193252857,8782.728088400001,13540261650.2
2020-01-17,16.31747246,16.33618916,16.29608456,16.32014671,995400.0,2.792236464,2.793382841,2.790924868,2.792400339,13.81089995,SCHV,498,4,49.94684443751451,2491.3521445008,179.03839003835088,-57.365377665242704,-208.24942943522382,150.8840517699811,9884.684112209605,-5423.790070039606,15308.47418224921,3825.282129832857,0.026737220000001116,13540265670.2
2020-01-18,8942.808594,9012.198242,8827.332031,8927.211914,32337772627.0,9.098604979,9.106334299,9.0856081,9.096859409,24.19950182,BTC-USD,560,1,57.074853011692824,2669.885121877,197.36618276441652,459.8215021275323,-74.6352431226726,534.4567452502049,10813.225456904978,-5459.663854132979,16272.889311037958,4462.644354531429,219.02246100000048,13745023809.4
2020-01-19,8706.245117,9164.362305,8620.080078,8941.445313,34217320471.0,9.071795877,9.123077578,9.061849653,9.098452523,24.2559978,BTC-USD,622,1,56.97676089960213,2842.5553867658,197.42679914346616,840.9136063397923,108.47452676982039,732.4390795699719,10924.298857808291,-5514.532176936292,16438.831034744584,4492.2662472507145,8559.665115200001,20586263683.6
2020-01-20,8657.642578,8745.59082,8560.473633,8704.631836,26422375678.0,9.066197745,9.076304946,9.054910799,9.071610558,23.99747705,BTC-USD,747,1,56.84205212925714,3015.3877174669997,197.4442804528196,1126.0298546047848,311.9855923368133,814.0442622679715,11667.3078594273,-5406.358921485298,17073.666780912597,4496.162646578571,8584.58155047,25870120699.2
2020-01-21,73.2428894,73.26887329,73.12162687,73.18225814,2910600.0,4.29378117,4.294135871,4.292124176,4.292953016,14.8838698,BND,809,0,50.04039608125147,3013.9353752429997,198.1271655038117,651.783864786134,379.9452468266775,271.83861795945654,11667.299059605704,-5406.315475057703,17073.614534663408,5100.0273555250005,-8855.7951966,18596274955.2
2020-01-21,8745.894531,8755.706055,8544.520508,8658.991211,24097418512.0,9.076339673,9.077460887,9.05304548,9.066353506,23.90537056,BTC-USD,809,1,49.956675342991836,3041.9555803230005,197.2738105046079,964.6313385910535,496.8824651795527,467.74887341150077,11651.773620746964,-5398.977047898966,17050.75066864593,5086.3493824457155,8729.57705854,23415559577.6
2020-01-21,16.26132202,16.30677511,16.22389168,16.27469175,1895100.0,2.788789406,2.791580673,2.786484951,2.789611248,14.45478217,SCHV,809,4,49.95969600694397,3040.8209726264004,182.4616831461746,502.36581178349934,497.97913450034207,4.386677283157269,11653.251511046154,-5406.128843380153,17059.380354426306,5086.041257562143,-8926.54727198,16948384072.2
2020-01-21,146.7400055,146.8600006,145.5500031,145.7700043,6086100.0,4.988662351,4.989479756,4.980519691,4.982030066,15.62151804,GLD,809,2,50.05213088792945,2895.5426379764003,182.32305154467593,144.87555542517657,427.358418685309,-282.48286326013243,11653.226850020576,-5405.999182044576,17059.22603206515,5095.362310162142,-8559.5051115,10106137198.0
2020-01-22,8680.875977,8792.994141,8636.74707,8744.210938,22600204051.0,9.068877722,9.081710563,9.063781294,9.076147153,23.84122477,BTC-USD,871,1,55.39343872495919,2920.9338098564,181.71277100890916,543.9253687635255,450.67180870095234,93.25356006257317,12299.43688737183,-5185.737861624831,17485.174748996662,5707.709011130714,23.233398999998826,9341702872.6
2020-01-22,16.26667404,16.32282109,16.25063159,16.29608469,1048800.0,2.789118478,2.792564196,2.788131775,2.790924876,13.86315721,SCHV,871,4,49.99998627497479,2918.3113433492,182.3309265014104,159.178749704015,392.3731969015649,-233.1944471975499,12303.808887168254,-5203.137193347253,17506.946080515507,6317.319147900715,-56.97621536,9341330512.6
2020-01-22,73.30352783,73.30352783,73.24289656,73.26888045,4192100.0,4.294608736,4.294608736,4.293781268,4.294135968,15.24871236,BND,871,0,44.52528996082655,2764.3930291458,182.27592839283264,-139.52496349843932,285.99356482156406,-425.5185283200034,12301.844977566785,-5195.459170891785,17497.30414845857,5690.666765831428,-8672.59100317,4522685230.2
2020-01-22,146.7899933,146.8099976,146.3800049,146.6799927,4778200.0,4.989002948,4.989139217,4.986206014,4.988253293,15.37957446,GLD,871,2,50.00014892949627,2767.0080942629997,182.2436676511738,-366.09989296716094,155.5748732638191,-521.67476623098,11627.89780693856,-5387.53407513356,17015.43188207212,5083.240361143572,130.52867128,4523261850.2
2020-01-23,8406.515625,8687.74707,8333.637695,8680.650391,25770680779.0,9.036762354,9.069668929,9.028055338,9.068851735,23.97250328,BTC-USD,933,1,55.29535136224184,2933.6803044986004,164.2279796305039,119.45170719115868,148.350240049287,-28.898532858128334,12230.45837062276,-5156.75437392476,17387.21274454752,5688.051181660713,8259.7756195,9676180786.0
2020-01-23,16.25864983,16.27201802,16.13298602,16.21587098,1014600.0,2.788625064,2.789446947,2.780865997,2.785990453,13.830005,SCHV,933,4,44.302806716463465,2770.7316298352,164.22821886651982,-170.7998942048148,84.52021319846665,-255.32010740328144,12232.418911987472,-5164.396018232473,17396.814930219945,5652.717009982858,-8664.617327169999,5156342895.8
2020-01-23,73.43343353,73.47674441,73.38146577,73.43343353,3104800.0,4.29637933,4.296968954,4.295671394,4.29637933,14.94845986,BND,933,0,50.04117044491297,2771.8804193936,164.17009107526155,-391.69760606656246,-10.723350654539175,-380.9742554120233,12234.809347082512,-5174.074109734513,17408.883456817024,5020.179588064285,57.166759490000004,5156754095.8
2020-01-23,147.1199951,147.6199951,146.6199951,147.0,8419800.0,4.991248547,4.994641371,4.987844172,4.990432587,15.94609663,GLD,933,2,42.73233046005584,2771.8634192716004,164.3688222818767,-554.4236932852359,-119.46341918067853,-434.96027410455736,12230.421180267695,-5156.603016933695,17387.02419720139,4382.915716066428,73.81646727000002,5157599635.8
2020-01-24,73.54606628,73.62401795,73.45078761,73.4767715,4548400.0,4.297911962,4.298971303,4.296615626,4.296969322,15.33028608,BND,995,0,42.84774034326551,2771.8774509488,164.36188391293467,-681.4665685529119,-231.86404905512524,-449.60251949778666,11569.077033863443,-5360.282877201444,16929.359911064887,4349.300500387142,-73.24392701999999,5157553675.8
2020-01-24,8445.43457,8514.666992,8266.84082,8405.567383,24397913026.0,9.041381287,9.049545484,9.02000771,9.036649549,23.91776343,BTC-USD,995,1,49.84549326737293,2937.8489423367996,164.1012966369565,-105.39262644533119,-206.56976453316645,101.17713808783526,12184.767573781752,-5146.087960299752,17330.855534081504,4939.015053152857,38.91894499999944,4883000125.2
2020-01-24,147.9799957,148.3800049,146.8899994,146.8999939,9919900.0,4.997077101,4.999776584,4.989684003,4.989752042,16.1100534,GLD,995,2,50.054643737336775,2940.4881283942,164.10269478897177,-314.7567959468529,-228.20717081590374,-86.54962513094915,12182.30331116492,-5136.131800865921,17318.435112030842,4918.588168829286,131.72134587,4884781185.2
2020-01-24,16.10624695,16.29340474,16.03138475,16.29340474,1018800.0,2.779207206,2.790760409,2.774548348,2.790760409,13.83413602,SCHV,995,4,42.70633631241991,2939.3556158820006,164.22792126495042,-485.72142385035977,-279.71002142279497,-206.0114024275648,11478.783644704614,-5323.905318310614,16802.68896301523,4307.837129211429,-57.32718658,4884363985.2
2020-01-25,8367.847656,8458.453125,8296.21875,8440.119141,19647331549.0,9.032151981,9.04292159,9.023555118,9.040751704,23.70120737,BTC-USD,1057,1,57.02201977944124,2945.115313142,182.8256729385249,52.10299915629821,-213.34741730697635,265.45041646327456,12083.843806463996,-5093.812461715996,17177.65626817999,4287.314003406428,8220.7276609,8812146335.0
2020-01-26,8596.830078,8602.401367,8325.498047,8364.410156,22177678796.0,9.059148819,9.059796672,9.027078139,9.031741098,23.82235216,BTC-USD,1119,1,57.09309250929509,3116.7297362046,161.73673400074472,491.14804800588763,-72.44832424440357,563.5963722502912,12021.62105390949,-5066.187560761489,17087.80861467098,4297.764334936429,8523.284011720001,13246772414.2
2020-01-27,8909.819336,8977.726563,8597.308594,8597.308594,28647338393.0,9.094909244,9.102501963,9.059204479,9.059204479,24.07832638,BTC-USD,1181,1,50.22294836478205,3293.4697537534,161.7214615811756,854.4998869392598,112.94131799232912,741.5585689469307,12058.470410415466,-5082.679495367465,17141.14990578293,3707.3816456150003,464.38476600000104,14096657487.6
2020-01-27,15.87096596,15.94850242,15.85492351,15.86829171,1091100.0,2.7644914,2.769364933,2.763480084,2.764322886,13.90269692,SCHV,1181,4,49.99961636729261,3290.8665730966,161.73628599029135,419.95060431190996,174.3431752562453,245.60742905566465,11397.266351775845,-5285.652597931844,16682.918949707688,3723.7630075492857,-132.10902973999998,14094891727.6
2020-01-27,148.9900055,149.3200073,148.4600067,149.2400055,9988100.0,5.003879226,5.006091703,5.000315607,5.005555785,16.11690494,GLD,1181,2,50.07326875291157,3136.2649474265995,161.6345278252687,85.3251854154746,156.53957728809118,-71.21439187261657,11395.418680488641,-5276.23021503464,16671.64889552328,3729.2210209457144,132.88375854999998,14096685587.6
2020-01-27,73.78856659,73.79722348,73.71060834,73.7712396,3208600.0,4.301203795,4.301321109,4.300146728,4.300968948,14.98134526,BND,1181,0,49.9293328733432,3137.4197701194,161.62878406298947,-183.81706879438798,88.46824807159535,-272.2853168659833,10611.226723727657,-5359.248854714657,15970.475578442314,3729.347658616429,-8294.05908941,10167860997.8
