date,close,high,low,open,volume,ticker,close_log,high_log,low_log,open_log,volume_log,date_encoded,ticker_encoded
13/10/20,117.5603027,118.45377865779184,117.08442340628244,117.58943669130926,13100.0,QQQM,4.766951416402795,4.774522830963781,4.7628952421681,4.767199207376612,9.480367509189243,259,3
14/10/20,116.51143646240234,118.21001580974688,115.92776445425508,117.83223018657928,37800.0,QQQM,4.757989435246932,4.772462837505166,4.752967276913658,4.769261834700332,10.54006438160768,322,3
15/10/20,115.6733398,115.8413491545844,114.39333488346008,114.62738463475608,30600.0,QQQM,4.7507701824099735,4.752221575276977,4.739642815740214,4.741686734153089,10.328755287940472,385,3
16/10/20,115.08383178710938,116.93877305430732,115.08383178710938,116.44347347576714,51000.0,QQQM,4.745660834853992,4.761650490596598,4.745660834853992,4.757405949038537,10.839580911706463,448,3
19/10/20,113.0929183959961,116.37548281340764,112.8841200796912,116.37548281340764,50600.0,QQQM,4.728209767510088,4.756821884361194,4.726361806521369,4.756821884361194,10.831706855275558,637,3
20/10/20,113.52023315429688,114.68175340888942,112.93753175101088,113.53966073309496,49800.0,QQQM,4.731981086710644,4.74216093047702,4.726834849490301,4.732152209655458,10.815770263012745,764,3
21/10/20,113.6659164428711,114.59824021993307,113.30658031037242,113.57850715250083,28200.0,QQQM,4.73326358838428,4.741432448315731,4.7300972449915255,4.732494290785702,10.247077256926206,827,3
22/10/20,113.3551254272461,113.96599009548405,112.13144740550813,113.73388167525673,24800.0,QQQM,4.730525593639639,4.73590007138875,4.719671820670118,4.733861348232546,10.118598932153073,890,3
23/10/20,113.62705993652344,113.62705993652344,112.47136353708515,113.61734614735288,40600.0,QQQM,4.732921681587642,4.732921681587642,4.722698642905036,4.732836189589454,10.611523345589823,953,3
26/10/20,111.85952758789062,113.60763915667782,110.56689714684497,112.6656016673564,74400.0,QQQM,4.7172438661402065,4.73275075012365,4.705620741818555,4.724424154113632,11.217211220821182,1142,3
27/10/20,112.7433090209961,113.09293139450776,111.82069895222727,112.28686458672664,46900.0,QQQM,4.7251136331274015,4.728209882446647,4.716896686269603,4.7210568877324715,10.75577295443437,1205,3
28/10/20,108.47013092041016,110.98546117122432,108.2856059920904,110.98546117122432,138800.0,QQQM,4.686474844024848,4.709399212294227,4.684772236513514,4.709399212294227,11.840789327054841,1268,3
29/10/20,110.23768615722656,111.36327067896696,108.77218566097882,108.9266060294658,79600.0,QQQM,4.702638817905256,4.712797566475993,4.689255655240349,4.6906743162552935,11.284769371832475,1331,3
